Competitor product name,Competitor product brand,Competitor product EAN,Company product number,Company product name,Company product EAN,Company product code,Matching status,Matching score,,,,,,,,,,
Abdeckung TAE Kopp Paris braun,Kopp,4008224583428,9150007,TAE Abdeckung Paris braun,4008224583428,9150007,AUTO,0,,,,,,,,,,
Abdeckung TAE Kopp Paris silber,Kopp,4008224583473,9150009,TAE Abdeckung Paris silber,4008224583473,9150009,AUTO,0,,,,,,,,,,
Abdeckung TAE Kopp Venedig platin,Kopp,4008224592840,9150112,TAE Abdeckung Venedig platin,4008224592840,9150112,AUTO,1,,,,,,,,,,
Abdeckung TAE Kopp Vision stahl,Kopp,4008224583961,9150016,TAE Abdeckung Vision stahl,4008224583961,9150016,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Europa arktisweiß,Kopp,4008224583237,9150002,UAE Abdeckung Europa arktis weiss,4008224583237,9150002,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Europa cremeweiß,Kopp,4008224583282,9150004,UAE-Abdeckung Europa creme,4008224583282,9150004,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Malta silber,Kopp,4008224583145,9100757,Abdeckung UAE Malta silber,4008224583145,9100757,AUTO,1,,,,,,,,,,
Abdeckung UAE Kopp Milano weiß,Kopp,4008224583572,9150019,UAE Abdeckung Milano weiss,4008224583572,9150019,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Paris arktisweis,Kopp,4008224583336,9150006,UAE Abdeckung Paris arktis weiss,4008224583336,9150006,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Paris braun,Kopp,4008224583435,9150008,UAE Abdeckung Paris braun,4008224583435,9150008,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Paris silber,Kopp,4008224583480,9150011,UAE Abdeckung Paris silber,4008224583480,9150011,AUTO,0,,,,,,,,,,
Abdeckung UAE Kopp Venedig platin,Kopp,4008224592857,9150114,UAE Abdeckung Venedig platin,4008224592857,9150114,AUTO,1,,,,,,,,,,
Abdeckung UAE Kopp Vision stahl,Kopp,4008224583978,9150017,UAE Abdeckung Vision stahl,4008224583978,9150017,AUTO,0,,,,,,,,,,
Abfalleimer Bowl Orange Spirella,spirella,7610583149664,5270246,Abfallkugel Bowl-Shiny Orange,7610583149664,5270246,AUTO,0,,,,,,,,,,
Abfalleimer Move Rot Spirella,spirella,7610583095985,5270250,Abfalleimer Med. Move Frosty-Red,7610583095985,5270250,AUTO,1,,,,,,,,,,
Abfalleimer Spirella Dice 1 Liter blau 10.19167,spirella,7610583191670,5270545,Dice Blue Abfalleimer,7610583191670,5270545,AUTO,1,,,,,,,,,,
Abfalleimer Spirella Dice 1 Liter taupe 10.19166,spirella,7610583191663,5240468,Abfalleimer Dice Taupe,7610583191663,5240468,AUTO,1,,,,,,,,,,
Abflammgerät CFH PZ 6000,CFH,"4001845520780,2007001163039,2007001163046,2003874795001",1350052,AUFWAERM- UND ABFLAMMGERAET PZ 6000,4001845520780,1350052,AUTO,0,,,,,,,,,,
Abflammgerät CFH ST 500,CFH,4001845520742,1350173,ABFLAMMGERAET ST500,4001845520742,1350173,AUTO,0,,,,,,,,,,
Ablage HACEKA Ixi 60cm edelstahl,HACEKA,8711331004408,5248133,Ablage 600 mm Ixi,8711331004408,5248133,AUTO,0,,,,,,,,,,
Ablage HACEKA Kosmos 60cm chrom,HACEKA,"8711331250102,2007000608593,2005139635008",5281826,Ablage 600mm Kosmos chrom,8711331250102,5281826,AUTO,0,,,,,,,,,,
Ablage HACEKA Kosmos Tec 60cm matt gebürstet,HACEKA,8711331250140,5284147,Ablage 600mm Kosmos Tec,8711331250140,5284147,AUTO,0,,,,,,,,,,
Ablage HACEKA Mezzo 60cm chrom,HACEKA,8711331280109,5282816,Ablage 600mm Mezzo chrom,8711331280109,5282816,AUTO,0,,,,,,,,,,
Ablage HACEKA Mezzo Tec 60cm matt gebürstet,HACEKA,8711331280147,5283300,Ablage 600mm Mezzo Tec,8711331280147,5283300,AUTO,0,,,,,,,,,,
Ablage Lenz Aura Chrom,Lenz,4009698340067,5250152,Galerie 60 cm AURA chrom,4009698340067,5250152,AUTO,0,,,,,,,,,,
Ablage Lenz Flame Chrom,Lenz,4009698490069,5250165,Galerie 60 cm FLAME chrom,4009698490069,5250165,AUTO,0,,,,,,,,,,
Ablage nie wieder bohren HUKK 70 cm chrom,nie wieder bohren,4260068541624,5250674,Glasablage hukk,4260068541624,5250674,AUTO,0,,,,,,,,,,
Ablagerost für Stahl-Ausgussbecken,,"9006947050031,2001358389005,2007002077274,4004267511107,5997665701746,4004810592508",5450349,"Stahlausgussbecken-Ablagerost 46 x 30,5 cm",9006947050031,5450349,AUTO,0,,,,,,,,,,
"Ablage SlideSmart 17,1x40 cm weiß",,"8712856023233,87",5260239,Badablage mit Schublade,8712856023233,5260239,AUTO,0,,,,,,,,,,
Ablage Spirella Lemon 60 cm weiß,spirella,7610583105936,5108345,"Ablage 60cm, weiss",4006596021401,5108345,VALIDATED,558,,,,,,,,,,
"Ablaichkasten 5 in 1, 20,5 x 10 x 11 cm",MARINA,"015561109369,2007000650752,2002209601000",2669546,ABLAICHKASTEN 5 IN 1,15561109369,2669546,AUTO,1,,,,,,,,,,
Ablaichkasten Marina 2 in 1,MARINA,"015561109314,2007000650059,2002209587007",2669580,ABLAICHKASTEN 2 IN 1,15561109314,2669580,VALIDATED,889,,,,,,,,,,
Ablaufgarnitur für Superflache Brausewannen 90mm verchromt,,4006596220347,5486712,ABLAUFGARNITUR FÜR BRAUSEWANNE 90MM,4006596220347,5486712,AUTO,1,,,,,,,,,,
Ablaufgarnitur Multiplex verchromt,,4006596221009,5458035,"Wannen-Excenter Viega chrom 1 1/2""",4006596221009,5458035,AUTO,0,,,,,,,,,,
"Ablaufschlauch ¾"" 100 cm",,"4004624163505,2007002341481,2007001892717,4006596172028,8014812080305,4007111150187,4002071819143",5487780,"Ablaufschlauch 3/4"" 19 X 4 mm",4006596172028,5487780,AUTO,1,,,,,,,,,,
"Ablaufschlauch ¾"" 200 cm",,"4007111667005,2007002077298,2001391362003,2007002341504,4004624864327,4006596172103,8014812080329,4007111026420,4007111071390,4007111127981,4007111667326,4002071819068",5488725,Ablaufschlauch 2000 mm,4006596172103,5488725,VALIDATED,889,,,,,,,,,,
"Ablaufschlauch ¾"" 300 cm",,"4004624864341,2007002341948,2003251261006,2007001045670,4006596172127,8014812080343,4007111150392,4002071819105",5488747,Ablaufschlauch 3000 mm,4006596172127,5488747,VALIDATED,889,,,,,,,,,,
"Ablauf-T-Stück für Siphon 1 1/4"" verchromt",,"4004624844008,2001395104005,4006596221726,4006596226608,4007111839112,4007111073172,4007111130868,4002071806013",5477582,"Zwischenstück GA-Abfluss WT 1 1/4""",4006596221726,5477582,AUTO,1,,,,,,,,,,
"Abpressstopfen ½"" messing/Kunststoff",,"4007111032896,4002071820330,4002071947952",5514333,Baustopfen grau mit Messinggewinde,4007111032896,5514333,AUTO,0,,,,,,,,,,
Absaugpumpe MTD für Flüssigkeiten,,4049582984755,4150328,Oel-Absaugpumpe für Motoröl,4049582984755,4150328,AUTO,0,,,,,,,,,,
Absaug Starter (Druckball),MARINA,"015561109987,2007000279564,2004240229007",2669073,Absaugstarter zum Wasserwechsel á 10/14 mm,15561109987,2669073,AUTO,1,,,,,,,,,,
"Abschlusskappe Cap für Kleiderstange grau, 2 Stück",Dolle Regale,"4007557209401,4007557409405,4006676022540",7476227,"Endstopfen 3,5x2cm grau",4006676022540,7476227,AUTO,1,,,,,,,,,,
Abschlusskappe für Firstblech anthracite grey,Precit Roof,"5948988039153,6",3100324,Firstkappe grau,5948988021479,3100324,AUTO,1,,,,,,,,,,
Abschlusskappe für Firstblech chocolate brown,Precit Roof,"5948988039498,59",3100346,Firstkappe mahagoni,5948988002638,3100346,AUTO,1,,,,,,,,,,
Abschlusskappe für Firstblech oxide red,Precit Roof,"5948988038781,6",3100302,Firstkappe terracotta,5948988008043,3100302,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium gold 23x6,3x2 mm, 1 m",Kaiserthal,"4004338476960,2000739468001,4001116024085",1736944,"ABSCHLUSSPROF.MS 1M 25X6,3MM",4001116024085,1736944,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium gold 23x6,3x2 mm, 2 m",Kaiserthal,"4004338477462,2000755453005,4001116064081",1737000,Abschlussprofil Messing 25 X 6 mm,4001116064081,1737000,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium gold 30x6,5x2 mm, 1 m",Kaiserthal,"4004338484088,2000737417001,4001116024412",1736977,ABSCHLUSSPROF.MS 1M 30X6MM,4001116024412,1736977,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium silber 23x6,3x2 mm, 1 m",Kaiserthal,"4004338476953,2000739457005,4001116014086",1739188,TREPPENPROF. SB.25X21M,4001116014086,1739188,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium silber 23x6,3x2 mm, 2 m",Kaiserthal,"4004338477455,2000755340008,4001116054082",1737021,Abschlussprofil Silber 25 X 6 mm,4001116054082,1737021,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium silber 24,5x10x1,5 mm, 1 m",Kaiserthal,"4004338476656,2000745302009,4001116014437",1736900,ABSCHLUSSPROF.SILB.125X10MM,4001116014437,1736900,AUTO,1,,,,,,,,,,
"Abschlussprofil Aluminium silber 30x6,5x2 mm, 1 m",Kaiserthal,"4004338484071,2000737406005,4001116014413",1739100,TREPPENPROFIL SB.30X1M,4001116014413,1739100,AUTO,1,,,,,,,,,,
Abschlußwiderstand für F-Anschlüsse Schwaiger UEST8370531,,4004005503340,9400453,Abschlusswiderstanndf. F-Buchsen 75 Ohm,4004005503340,9400453,AUTO,1,,,,,,,,,,
Abschlusswinkel Weiss 10 mm Pack 2 Stück,Gutta,4003412066561,3400079,Abschlusswinkel weiss 10 mm 2STK/Btl,4004708535181,3400079,VALIDATED,716,,,,,,,,,,
Abschlusswinkel Weiss 16 mm Pack 2 Stück,Gutta,4003412066578,3400037,Abschlusswinkel weiss 16MM 2 STK/Btl,4004708535174,3400037,VALIDATED,738,,,,,,,,,,
"Absperrband rot/weiß 500 m, 80 mm",,"4011333995006,2007001189688,2003825337007,4022153000115",1720008,Absperrband 500mx80mm,4004844500005,1720008,VALIDATED,746,,,,,,,,,,
Absperrhahn EHEIM 12/16,EHEIM,"4011708400340,2",2750451,Eheim Absperrhahn für 12-16 mm,4011708400340,2750451,AUTO,1,,,,,,,,,,
Absperrhahn Eheim 16/22 mm,EHEIM,"4011708400579,2007001009887,2003778550003",2679150,Absperrhahn 12/16 mm Eheim,4011708400579,2679150,AUTO,1,,,,,,,,,,
Absperrhahn EHEIM 9/12,EHEIM,"4011708400098,2",2750286,Absperrhahn 9/12 mm Eheim,4011708400098,2750286,AUTO,1,,,,,,,,,,
"Absperrventil 1"" mit Entleerung messing",,"4007111029926,2003887508001,4007111919401",5469530,"Schrägsitzventil mit Entleerung 33 mm (1"")",4007111029926,5469530,AUTO,0,,,,,,,,,,
"Absperrventil mit Entleerung ¾""",,"4007111029834,2001329357002,4007111919203,4007111073790,4002071812328",5469508,Absperrventil mit Entleerung,4007111029834,5469508,AUTO,0,,,,,,,,,,
